Sample,EC50,R2,Status
BP116-02,12.686,0.9996,Success
BP116-03,11.691,0.9992,Success
BP116-04,10.405,0.9997,Success
BP116-05,11.441,0.9995,Success
BP116-06,9.21,0.998,Success
BP116-07,13.78,0.9968,Success
BP116-09,118.639,0.9995,Success
BP116-10,11.25,0.9958,Success
BP116-11,7.48,0.9961,Success
BP116-12,-,-,Fail
BP116-13,10.353,0.9952,Success
BP116-14,11.812,0.9997,Success
BP116-02,0.024,0.8994,Success
BP116-03,0.001,0.9807,Success
BP116-04,0.01,0.9934,Success
BP116-05,0.177,0.565,Success
BP116-06,-0.0,0.0557,Success
BP116-07,0.054,0.8735,Success
BP116-09,0.069,0.9951,Success
BP116-10,0.0,0.7741,Success
BP116-11,0.118,0.5986,Success
BP116-12,0.031,0.9988,Success
BP116-13,0.124,0.4472,Success
BP116-14,0.06,0.7598,Success
BP116-02,0.0,0.9981,Success
BP116-03,104228679.227,0.8421,Success
BP116-04,0.0,0.3327,Success
BP116-05,0.0,0.9968,Success
BP116-06,0.0,0.9921,Success
BP116-07,0.0,0.9854,Success
BP116-09,0.0,0.7264,Success
BP116-10,0.0,0.9952,Success
BP116-11,0.0,0.9986,Success
BP116-12,0.0,0.3152,Success
BP116-13,0.0,0.9917,Success
BP116-14,0.0,0.9974,Success
BP116-15,46.104,0.9997,Success
BP116-16,12.56,0.9991,Success
BP116-17,13.988,0.9975,Success
BP116-18,12.028,0.9989,Success
BP116-19,15.691,0.9983,Success
BP116-20,18.571,0.9991,Success
BP116-21,59.671,0.9995,Success
BP116-22,75.233,0.9979,Success
BP116-23,194.516,0.9991,Success
BP116-24,24.643,0.9996,Success
BP116-25,15.747,0.9988,Success
BP116-26,13.567,0.9976,Success
BP116-15,0.011,0.9974,Success
BP116-16,-,-,Fail
BP116-17,-,-,Fail
BP116-18,0.001,0.9836,Success
BP116-19,499115981.504,0.4512,Success
BP116-20,209.38,0.986,Success
BP116-21,0.059,0.9993,Success
BP116-22,0.094,0.9987,Success
BP116-23,0.347,0.9992,Success
BP116-24,0.184,0.9962,Success
BP116-25,0.0,0.2613,Success
BP116-26,0.001,0.987,Success
BP116-15,0.0,0.4223,Success
BP116-16,0.0,0.9478,Success
BP116-17,0.0,0.9916,Success
BP116-18,0.0,0.7182,Success
BP116-19,0.0,0.9873,Success
BP116-20,0.0,0.9951,Success
BP116-21,0.0,0.0445,Success
BP116-22,-,-,Fail
BP116-23,-,-,Fail
BP116-24,0.0,0.1306,Success
BP116-25,0.0,0.9771,Success
BP116-26,0.0,0.9591,Success
BP116-27,23.143,0.7352,Success
BP116-28,29.445,0.9974,Success
BP116-29,195.43,0.9972,Success
BP116-30,99.711,0.9846,Success
BP116-31,24.421,0.9998,Success
BP116-32,33.853,0.9411,Success
BP116-33,31.559,0.9993,Success
BP116-34,14.99,0.9007,Success
BP116-35,52.588,0.9878,Success
BP116-36,13.047,0.9891,Success
BP116-37,15.604,0.9996,Success
BP116-38,20.217,0.9994,Success
BP116-27,19.729,0.9442,Success
BP116-28,0.188,0.1459,Success
BP116-29,7928887.875,0.9233,Success
BP116-30,0.028,0.9959,Success
BP116-31,0.159,0.9117,Success
BP116-32,208586632.513,0.9702,Success
BP116-33,0.049,0.5354,Success
BP116-34,0.397,0.9888,Success
BP116-35,0.162,0.92,Success
BP116-36,0.003,0.37,Success
BP116-37,-,-,Fail
BP116-38,-,-,Fail
BP116-27,0.0,0.9764,Success
BP116-28,0.0,0.9918,Success
BP116-29,0.0,0.637,Success
BP116-30,0.0,0.0637,Success
BP116-31,0.0,0.9961,Success
BP116-32,-0.0,0.0494,Success
BP116-33,0.0,0.9994,Success
BP116-34,0.0,0.5558,Success
BP116-35,0.0,0.9973,Success
BP116-36,0.0,0.998,Success
BP116-37,0.0,0.9673,Success
BP116-38,0.0,0.9898,Success
BP116-39,54.695,0.8324,Success
BP116-40,9.088,0.9986,Success
BP116-42,78.104,0.9964,Success
BP116-43,12.56,0.9944,Success
BP116-44,15.467,0.9989,Success
6.0,186.811,0.8,Success
7.0,51065823670.347,0.6258,Success
8.0,1002.9,0.7556,Success
9.0,-,-,Fail
10.0,418.153,0.5509,Success
11.0,900.36,0.2027,Success
12.0,815.239,0.5765,Success
BP116-39,0.028,0.9765,Success
BP116-40,0.063,0.9684,Success
BP116-42,0.038,0.9935,Success
BP116-43,0.01,0.1773,Success
BP116-44,-,-,Fail
6.0,0.146,0.3548,Success
7.0,-,-,Fail
8.0,-,-,Fail
9.0,0.123,0.3251,Success
10.0,0.049,0.8254,Success
11.0,0.0,0.2901,Success
12.0,0.047,0.7708,Success
BP116-39,0.0,0.9963,Success
BP116-40,0.0,0.9947,Success
BP116-42,0.001,0.8264,Success
BP116-43,0.0,0.9973,Success
BP116-44,0.0,0.9978,Success
6.0,0.0,0.9241,Success
7.0,0.0,0.1973,Success
8.0,0.0,0.7078,Success
9.0,0.0,0.4156,Success
10.0,2760695.774,0.758,Success
11.0,0.0,0.7326,Success
12.0,0.0,0.762,Success
