,8WQW-GC-1,116-28,155-17,116-19,nan,nan_2,nan_3,8WQW-GC-1_2,116-28_2,155-17_2,116-19_2,nan_4,8WSN,8WQW-GC,8YXI,116-21,nan_5,nan_6,nan_7,nan_8,8WSN_2,8WQW-GC_2,8YXI_2,116-21_2,nan_9,8WSN_3,124-15,124-16,nan_10,nan_11,nan_12,nan_13,nan_14,8WSN_4,124-15_2,124-16_2,nan_15
8WQW-GC-1,0.9471106109750447,0.05692725226716078,0.023432845700668503,0.9676970940623552,0.0,0.0,0.0,0.3730650618918382,0.9623173019130205,0.9844887495862845,0.3594379466472496,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116-28,0.22469480292989186,0.9273107778165329,0.06166724799441925,0.2050924311126614,0.0,0.0,0.0,0.8432544101848622,0.3531142113707709,0.9569813407743286,0.8569288936170213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155-17,0.1691234883926207,0.13072645423250062,0.8945184923647277,0.23744372848442052,0.0,0.0,0.0,0.8507163138847207,0.8846090087386353,0.21041707829464207,0.7904106911466149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116-19,0.9229038730467563,0.062321395999270446,0.040615309782939146,0.9462515960357512,0.0,0.0,0.0,0.4388618757220162,0.9621077424454307,0.9753053383595792,0.4246661421535842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8WSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690040278286342,0.023434639326254225,0.04155986818015389,0.06774075430245341,0.0,0.0,0.0,0.0,0.3683263658000733,0.9785475659099231,0.9619554485536433,0.9379890571219334,1.0,0.49996044616723356,0.0,0.107823748121193,0.0,0.0,0.0,0.0,0.0,0.6044929625820742,1.0,0.9147031500672416,1.0
8WQW-GC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546216060080878,0.8782495667244368,0.14298093587521665,0.07813402657423463,0.0,0.0,0.0,0.0,0.6322622674754477,0.0,0.7934995147313691,0.8871547848064703,1.0,0.28772668393782386,0.9099740932642487,0.011981865284974247,0.0,0.0,0.0,0.0,0.0,0.5341213018134715,0.0,0.9805993118523316,1.0
8YXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13747393506106653,0.009085492999702072,0.8605898123324397,0.0,0.0,0.0,0.0,0.0,0.7952428731009831,0.9864678388442062,0.0,1.0,1.0,0.22054016858764847,0.0,0.9365215895406847,0.0,0.0,0.0,0.0,0.0,0.6206086891450198,1.0,0.0,1.0
116-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201625507971241,0.09419610294883818,0.11305616338439095,0.9082004793164531,0.0,0.0,0.0,0.0,0.7899077753464624,0.9018483869959362,0.8821963499010107,0.05366210378243197,1.0,0.1919136878814297,0.007955536181342593,0.1357890148212728,0.0,0.0,0.0,0.0,0.0,0.7908525632083696,0.9913300610287707,0.8520172024847428,1.0
124-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3218100602058652,0.8724024082346087,0.20508836667314045,0.14488250145659354,0.0,0.0,0.0,0.0,0.3750047387842299,0.0,0.6016928199650418,0.7186201184696057,1.0,0.24573378839590443,0.9223549488054608,0.14590443686006827,0.0,0.0,0.0,0.0,0.0,0.4758238310580205,0.0,0.688770398890785,1.0
124-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684141689373297,0.04272479564032694,0.0,0.0,0.0,0.0,1.0,1.0,0.2543414833787465,0.9534334648501362,1.0,0.16907073509015258,0.0,0.8287101248266296,0.0,0.0,0.0,0.0,0.0,0.7655052219140084,1.0,0.0,1.0
